,Paper Title,Authors,Description,Tags/Comments,Conference Venue,Year,Paper link,Additional resources
20,Censorship of online encyclopedias: Implications for nlp models ,"Eddie Yang, Margaret E. Roberts",,"Data Collection-Sampling, Problem Identification (Case Study)",FAccT,2021,https://dl.acm.org/doi/10.1145/3442188.3445916,
21,Towards intersectional feminist and participatory ml: A case study in supporting feminicide counterdata collection,"Harini Suresh, Rajiv Movva, Amelia Lee Dogan, Rahul Bhargava, Isadora Cruxen, Angeles Martinez Cuba, Guilia Taurino, Wonyoung So, Catherine D’Ignazio",,"Data Collection-Sampling, Problem Identification (Case Study)",FAccT,2022,https://dl.acm.org/doi/10.1145/3531146.3533132,
22,"Female, white, 27? Bias evaluation on data and algorithms for affect recognition in faces","Jaspar Pahl, Ines Rieger, Anna Möller, Thomas Wittenberg, Ute Schmid",,"Data Collection-Sampling, Problem Identification (Case Study)",FAccT,2022,https://dl.acm.org/doi/10.1145/3531146.3533159,
23,Adaptive sampling strategies to construct equitable training datasets,"William Cai, Ro Encarnacion, Bobbie Chern, Sam Corbett-Davies, Mira Bogen, Stevie Bergman, Sharad Goel",,"Data Collection-Sampling, Problem Identification",FAccT,2022,https://arxiv.org/abs/2202.01327,
24,Modeling risk and achieving algorithmic fairness using potential outcomes,Alan Mishler,,"Data Collection-Sampling, Measurement",AIES,2019,https://dl.acm.org/doi/10.1145/3306618.3314323,
25,Identifying bias in data using two-distribution hypothesis tests,"William Yik, Limnanthes Serafini, Timothy Lindsey, George D Montañez",,"Data Collection-Sampling, Measurement",AIES,2022,https://dl.acm.org/doi/abs/10.1145/3514094.3534169,
26,Data augmentation for discrimination prevention and bias disambiguation,"Shubham Sharma, Yunfeng Zhang, Jesús M Ríos Aliaga, Djallel Bouneffouf, Vinod Muthusamy,  Kush R Varshney",,"Data Collection-Sampling, Mitigation",AIES,2020,https://dl.acm.org/doi/10.1145/3375627.3375865,
27,DECAF: Generating Fair Synthetic Data Using Causally-Aware Generative Networks,"Boris van Breugel, Trent Kyono, Jeroen Berrevoets,  Mihaela van der Schaar",,"Data Collection-Sampling, Mitigation",NeurIPS,2019,https://openreview.net/forum?id=XN1M27T6uux,
28,Detecting discriminatory risk through data annotation based on bayesian inferences,"Elena Beretta, Antonio Vetrò, Bruno Lepri,  Juan Carlos De Martin",,"Data Collection-Sampling, Mitigation",FAccT,2021,https://dl.acm.org/doi/10.1145/3442188.3445940,
29,Conditional contrastive learning with kernel,"Yao-Hung Hubert Tsai, Tianqin Li, Martin Q. Ma, Han Zhao, Kun Zhang, Louis-Philippe Morency,  Ruslan Salakhutdinov.",,"Data Collection-Sampling, Mitigation (Traditional)",ICLR,2022,https://openreview.net/forum?id=AAJLBoGt0XM,
30,Adaptive Sampling for Minimax Fair Classification,"Shubhanshu Shekhar, Greg Fields, Mohammad Ghavamzadeh,  Tara Javidi",,"Data Collection-Sampling, Mitigation (Traditional)",NeurIPS,2021,https://openreview.net/forum?id=ZDMqRGSksHs,
31,Fairbatch: Batch selection for model fairness,"Yuji Roh, Kangwook Lee, Steven Euijong Whang,  Changho Suh",,"Data Collection-Sampling, Mitigation (Traditional)",ICLR,2021,https://openreview.net/forum?id=YNnpaAKeCfx,
32,Learning with noisy labels revisited: A study using real-world human annotations,"Jiaheng Wei, Zhaowei Zhu, Hao Cheng, Tongliang Liu, Gang Niu,  Yang Liu",,"Data Collection-Annotation, Problem Identification (Case Study)",ICLR,2022,https://openreview.net/forum?id=TBWA6PLJZQm,
33,Fair classification with group-dependent label noise,"Jialu Wang, Yang Liu, Caleb Levy",,"Data Collection-Annotation, Problem Identification",FAccT,2021,https://dl.acm.org/doi/10.1145/3442188.3445915,
34,Assessing annotator identity sensitivity via item response theory: A case study in a hate speech corpus,"Pratik S. Sachdeva, Renata Barreto, Claudia von Vacano,  Chris J. Kennedy",,"Data Collection-Annotation, Problem Identification",FAccT,2022,https://dl.acm.org/doi/10.1145/3531146.3533216,
35,It’s about time: A view of crowdsourced data before and during the pandemic,"Evgenia Christoforou, Pinar Barlas, Jahna Otterbacher",,"Data Collection-Annotation, Problem Identification",CHI,2021,https://dl.acm.org/doi/10.1145/3411764.3445317,
36,Can less be more? when increasing-to-balancing label noise rates considered beneficial.,"Yang Liu, Jialu Wang",,"Data Collection-Annotation, Measurement",NeurIPS,2021,https://openreview.net/forum?id=VjKhSULF7Gb,
37,Measuring representational harms in image captioning,"Angelina Wang, Solon Barocas, Kristen Laird, Hanna Wallach",,"Data Collection-Annotation, Measurement",FAccT,2022,https://dl.acm.org/doi/10.1145/3531146.3533099,
38,The Values Encoded in Machine Learning Research ,"Abeba Birhane, Pratyusha Kalluri, Dallas Card, William Agnew, Ravit Dotan,  Michelle Bao",,"Data Collection-Annotation, Measurement",FAccT,2022,https://dl.acm.org/doi/fullHtml/10.1145/3531146.3533083,
39,Towards fairer datasets: Filtering and balancing the distribution of the people subtree in the imagenet hierarchy,"Kaiyu Yang, Klint Qinami, Li Fei-Fei, Jia Deng,  Olga Russakovsky",,"Data Collection-Annotation, Mitigation",FAccT,2020,https://dl.acm.org/doi/10.1145/3351095.3375709,
40,Fairness in representation for multilingual NLP: Insights from controlled experiments on conditional language modeling,Ada Wan,,"Data Collection-Feature Measurement, Problem Identification (Case Study)",ICLR,2022,https://openreview.net/forum?id=-llS6TiOew,
41,Disparate impact of artificial intelligence bias in ridehailing economy’s price discrimination algorithms.,"Akshat Pey, Aylin Caliskan",,"Data Collection-Feature Measurement, Problem Identification (Case Study)",AIES,2021,https://arxiv.org/abs/2006.04599,
42,Asymmetric shapley values: incorporating causal knowledge into model-agnostic explainability,"Christopher Frye, Colin Rowat, Ilya Feige",,"Data Collection-Feature Measurement, Problem Identification",NeurIPS,2020,https://dl.acm.org/doi/10.5555/3495724.3495828,
43,What are the biases in my word embedding?,"Nathaniel Swinger, Maria De-Arteaga, Neil Thomas Heffernan IV, Mark DM Leiserson,  Adam Tauman Kalai",,"Data Collection-Feature Measurement, Measurement",AIES,2019,https://dl.acm.org/doi/10.1145/3306618.3314270,
44,Dynamic covid risk assessment accounting for community virus exposure from a spatial-temporal transmission model,"Yuan Chen, Wenbo Fei, Qinxia Wang, Donglin Zeng,  Yuanjia Wang",,"Data Collection-General, Problem Identification (Case Study)",NeurIPS,2021,https://proceedings.neurips.cc/paper/2021/hash/e97a4f04ef1b914f6a1698caa364f693-Abstract.html,
45,Investigating and mitigating biases in crowdsourced data,"Danula Hettiachchi, Mark Serson, Jorge Goncalves, Simo Hosio, Gabriella Kazai, Matthew Lease, Mike Schaekermann,  Emine Yilmaz",,"Data Collection-General, Problem Identification (Case Study)",CSCW,2021,https://dl.acm.org/doi/10.1145/3462204.3481729,
46,"“Everyone wants to do the model work, not the data work”: Data Cascades in High-Stakes AI","Nithya Sambasivan, Shivani Kapania, Hannah Highfill, Diana Akrong, Praveen Paritosh,  Lora M Aroyo",,"Data Collection-General, Problem Identification (Case Study)",CHI,2021,https://dl.acm.org/doi/10.1145/3411764.3445518,
47,Designing an online infrastructure for collecting ai data from people with disabilities,"Joon Sung Park, Danielle Bragg, Ece Kamar,  Meredith Ringel Morris",,"Data Collection-General, Problem Identification",FAccT,2021,https://dl.acm.org/doi/10.1145/3442188.3445870,
48,Residual unfairness in fair machine learning from prejudiced data,"Nathan Kallus, Angela Zhou",,"Data Collection-General, Problem Identification",ICML,2018,https://proceedings.mlr.press/v80/kallus18a.html,
49,Data in new delhi’s predictive policing system,"Vidushi Marda, Shivangi Narayan",,"Data Collection-General, Problem Identification",FAccT,2020,https://dl.acm.org/doi/abs/10.1145/3351095.3372865,
50,Data-centric factors in algorithmic fairness,"Nianyun Li, Naman Goel,  Elliott Ash",,"Data Collection-General, Measurement",AIES,2022,https://dl.acm.org/doi/10.1145/3514094.3534147,
51,Retiring adult: New datasets for fair machine learning,"Frances Ding, Moritz Hardt, John Miller,  Ludwig Schmidt",,"Data Collection-General, Measurement",NeurIPS,2021,https://openreview.net/forum?id=bYi_2708mKK,
52,Assessing fairness in the presence of missing data,"Yiliang Zhang, Qi Long",,"Data Collection-General, Measurement",NeurIPS,2021,https://openreview.net/forum?id=myJO35O7Gg,
53,Understanding the representation and representativeness of age in ai data sets,"Joon Sung Park, Michael S. Bernstein, Robin N. Brewer, Ece Kamar,  Meredith Ringel Morris",,"Data Collection-General, Measurement",AIES,2021,https://dl.acm.org/doi/10.1145/3461702.3462590,
54,Can I Trust My Fairness Metric? Assessing Fairness with Unlabeled Data and Bayesian Inference,"Disi Ji, Padhraic Smyth,  Mark Steyvers",,"Data Collection-General, Measurement",NeurIPS,2020,https://proceedings.neurips.cc/paper/2020/hash/d83de59e10227072a9c034ce10029c39-Abstract.html,
55,Assessing algorithmic fairness with unobserved protected class using data combination,"Nathan Kallus, Xiaojie Mao,  Angela Zhou",,"Data Collection-General, Measurement",FAccT,2020,https://dl.acm.org/doi/10.1145/3351095.3373154,
56,The effect of differential victim crime reporting on predictive policing systems,"Nil-Jana Akpinar, Maria De-Arteaga,  Alexra Chouldechova",,"Data Collection-General, Measurement",FAccT,2021,https://dl.acm.org/doi/10.1145/3442188.3445877,
57,Man is to computer programmer as woman is to homemaker? debiasing word embeddings,"Tolga Bolukbasi, Kai-Wei Chang, James Y Zou, Venkatesh Saligrama,  Adam T Kalai",,"Data Collection-General, Measurement",NeurIPS,2016,https://dl.acm.org/doi/10.5555/3157382.3157584,
58,Data preprocessing techniques for classification without discrimination,"Faisal Kamiran, Toon Calders",,"Data Collection-General, Measurement",Knowledge and Information Systems,2012,https://link.springer.com/article/10.1007/s10115-011-0463-8,
59,Why is my classifier discriminatory?,"Irene Chen, Fredrik D Johansson,  David Sontag",,"Data Collection-General, Mitigation",NeurIPS,2018,https://dl.acm.org/doi/10.5555/3327144.3327272,
60,Datasheets for Datasets,"Timnit Gebru, Jamie Morgenstern, Briana Vecchione, Jennifer Wortman Vaughan, Hanna Wallach, Hal III Daumé,  Kate Crawford",,"Data Collection-General, Mitigation",Communications of the ACM,2021,https://cacm.acm.org/magazines/2021/12/256932-datasheets-for-datasets/abstract,
61,Datasheets for datasets help ml engineers notice and understand ethical issues in training data,Karen L Boyd,,"Data Collection-General, Mitigation",CHI,2021,https://dl.acm.org/doi/abs/10.1145/3479582,
62,Automating Procedurally Fair Feature Selection in Machine Learning,"Clara Belitz, Lan Jiang,  Nigel Bosch",,"Data Preprocessing-Feature Selection, Problem Identification/Measurement",AIES,2021,https://dl.acm.org/doi/10.1145/3461702.3462585,
63,Hunting for Discriminatory Proxies in Linear Regression Models,"Samuel Yeom, Anupam Datta,  Matt Fredrikson",,"Data Preprocessing-Feature Selection, Problem Identification/Mitigation",NeurIPS,2018,https://proceedings.neurips.cc/paper/2018/hash/6cd9313ed34ef58bad3fdd504355e72c-Abstract.html,
64,FlipTest: fairness testing via optimal transport,"Emily Black, Samuel Yeom,  Matt Fredrikson",,"Data Preprocessing-Feature Selection/Testing and Validation-Measurement, Problem Identification",FAccT,2020,https://dl.acm.org/doi/abs/10.1145/3351095.3372845,
65,Feature-Wise Bias Amplification,"Klas Leino, Matt Fredrikson, Emily Black, Shayak Sen,  Anupam Datta",,"Data Preprocessing-Feature Selection, Problem Identification",ICLR,2019,https://openreview.net/forum?id=S1ecm2C9K7,
66,Assessing social and intersectional biases in contextualized word representations,"Yi Chern Tan, L. Elisa Celis",,"Data Preprocessing-Feature Selection, Measurement",NeurIPS,2019,https://dl.acm.org/doi/10.5555/3454287.3455472,
67,Fairness for AUC via Feature Augmentation,"Hortense Fong, Vineet Kumar, Anay Mehrotra,  Nisheeth K. Vishnoi",,"Data Preprocessing-Feature Selection, Mitigation",FAccT,2022,https://dl.acm.org/doi/10.1145/3531146.3533126,
68,A Geometric Solution to Fair Representations,"Yuzi He, Keith Burghardt,  Kristina Lerman",,"Data Preprocessing-Feature Selection, Mitigation (Traditional)",AIES,2020,https://dl.acm.org/doi/10.1145/3375627.3375864,
69,Controllable invariance through adversarial feature learning,"Qizhe Xie, Zihang Dai, Yulun Du, Eduard Hovy,  Graham Neubig",,"Data Preprocessing-Data Cleaning (Omission), Measurement",NeurIPS,2017,https://dl.acm.org/doi/10.5555/3294771.3294827,
70,Data Validation for Machine Learning,"Eric Breck, Neoklis Polyzotis, Sudip Roy, Steven Whang,  Martin Zinkevich",,"Data Preprocessing-Data Cleaning (Omission), Measurement",MLSys,2019,https://mlsys.org/Conferences/2019/doc/2019/167.pdf,
71,Optimized Pre-Processing for Discrimination Prevention,"Flavio Calmon, Dennis Wei, Bhanukiran Vinzamuri, Karthikeyan Natesan Ramamurthy,  Kush R Varshney",,"Data Preprocessing-Data Cleaning (Omission), Mitigation",NeurIPS,2017,https://papers.nips.cc/paper_files/paper/2017/hash/9a49a25d845a483fae4be7e341368e36-Abstract.html,
72,Towards Fair Deep Anomaly Detection,Hongjing Zhang  Ian Davidson,,"Data Preprocessing-Data Cleaning (Omission), Mitigation",FAccT,2021,https://dl.acm.org/doi/10.1145/3442188.3445878,
73,"The Data Linter: Lightweight, Automated Sanity Checking for ML Data Sets","Nick Hynes, D. Sculley,  Michael Terry",,"Data Preprocessing-Data Cleaning (Omission), Mitigation",NeurIPS ML Systems workshop,2017,http://learningsys.org/nips17/assets/papers/paper_19.pdf,
74,ActiveClean: interactive data cleaning for statistical modeling,"Sanjay Krishnan, Jiannan Wang, Eugene Wu, Michael J Franklin,  Ken Goldberg",,"Data Preprocessing-Data Cleaning (Omission), Mitigation",VLDB Endowment,2016,https://dl.acm.org/doi/10.14778/2994509.2994514,
75,"Gender Bias in Word Embeddings: A Comprehensive Analysis of Frequency, Syntax, and Semantics","Aylin Caliskan, Pimparkar Parth Ajay, Tessa Charlesworth, Robert Wolfe,  Mahzarin R. Banaji",,"Data Preprocessing-General, Problem Identification",AIES,2022,https://dl.acm.org/doi/abs/10.1145/3514094.3534162,
76,Does enforcing fairness mitigate biases caused by subpopulation shift?,"Subha Maity, Debarghya Mukherjee, Mikhail Yurochkin,  Yuekai Sun",,"Data Preprocessing-General, Problem Identification",NeurIPS,2021,https://openreview.net/forum?id=6mUrD5rg-UU,
77,Towards Understanding and Mitigating Social Biases in Language Models,"Paul Pu Liang, Chiyu Wu, Louis-Philippe Morency,  Ruslan Salakhutdinov",,"Data Preprocessing-General, Problem Identification",ICML,2021,https://proceedings.mlr.press/v139/liang21a.html,
78,Fair preprocessing: towards understanding compositional fairness of data transformers in machine learning pipeline,"Sumon Biswas, Hridesh Rajan",,"Data Preprocessing-General, Problem Identification",ESEC/FSE,2021,https://dl.acm.org/doi/10.1145/3468264.3468536,
79,Uncertainty and the Social Planner’s Problem: Why Sample Complexity Matters,Cyrus Cousins,,"Data Preprocessing-General, Measurement",FAccT,2022,https://dl.acm.org/doi/10.1145/3531146.3533243,
80,Promoting Fairness in Learned Models by Learning to Active Learn under Parity Constraints,"Amr Sharaf, Hal Daume III,  Renkun Ni",,"Data Preprocessing-General, Measurement",FAccT,2022,https://dl.acm.org/doi/10.1145/3531146.3534632,
81,Fair Generative Modeling via Weak Supervision,"Kristy Choi, Aditya Grover, Trisha Singh, Rui Shu,  Stefano Ermon",,"Data Preprocessing-General, Measurement",ICML,2020,https://proceedings.mlr.press/v119/choi20a.html,
82,Fair Representation Learning through Implicit Path Alignment,"Changjian Shui, Qi Chen, Jiaqi Li, Boyu Wang,  Christian Gagné",,"Data Preprocessing-General, Measurement",ICML,2022,https://proceedings.mlr.press/v162/shui22a.html,
83,Understanding Instance-Level Impact of Fairness Constraints,"Jialu Wang, Xin Eric Wang,  Yang Liu",,"Data Preprocessing-General, Measurement",ICML,2022,https://proceedings.mlr.press/v162/wang22ac.html,
84,Robin Hood and Matthew Effects: Differential Privacy Has Disparate Impact on Synthetic Data,"Georgi Ganev, Bristena Oprisanu,  Emiliano De Cristofaro",,"Data Preprocessing-General, Measurement",ICML,2022,https://proceedings.mlr.press/v162/ganev22a.html,
85,Beyond Parity: Fairness Objectives for Collaborative Filtering,Sirui Yao  Bert Huang,,"Data Preprocessing-General, Mitigation",NeurIPS,2017,https://papers.nips.cc/paper_files/paper/2017/hash/e6384711491713d29bc63fc5eeb5ba4f-Abstract.html,
86,Exploiting MMD and Sinkhorn Divergences for Fair and Transferable Representation Learning,"Luca Oneto, Michele Donini, Giulia Luise, Carlo Ciliberto, Andreas Maurer,  Massimiliano Pontil",,"Data Preprocessing-General, Mitigation",NeurIPS,2020,https://proceedings.neurips.cc/paper/2020/hash/af9c0e0c1dee63e5acad8b7ed1a5be96-Abstract.html,
87,AutoBalance: Optimized Loss Functions for Imbalanced Data,"Mingchen Li, Xuechen Zhang, Christos Thrampoulidis, Jiasi Chen,  Samet Oymak",,"Data Preprocessing-General, Mitigation",NeurIPS,2021,https://openreview.net/forum?id=ebQXflQre5a,
88,Fairness via Representation Neutralization,"Mengnan Du, Subhabrata Mukherjee, Guanchu Wang, Ruixiang Tang, Ahmed Awadallah,  Xia Hu",,"Data Preprocessing-General, Mitigation",NeurIPS,2021,https://openreview.net/forum?id=nHRGW_wETLQ,
89,Reducing sentiment polarity for demographic attributes in word embeddings using adversarial learning,"Chris Sweeney, Maryam Najafian",,"Data Preprocessing-General, Mitigation",FAccT,2020,https://dl.acm.org/doi/10.1145/3351095.3372837,
90,Bias in word embeddings,"Orestis Papakyriakopoulos, Simon Hegelich, Juan Carlos Medina Serrano,  Fabienne Marco",,"Data Preprocessing-General, Mitigation",FAccT,2020,https://dl.acm.org/doi/10.1145/3351095.3372843,
91,Smallset Timelines: A Visual Representation of Data Preprocessing Decisions,"Lydia R. Lucchesi, Petra M. Kuhnert, Jenny L. Davis,  Lexing Xie",,"Data Preprocessing-General, Mitigation",FAccT,2022,https://dl.acm.org/doi/abs/10.1145/3531146.3533175,
92,Flexibly Fair Representation Learning by Disentanglement,"Elliot Creager, David Madras, Joern-Henrik Jacobsen, Marissa Weis, Kevin Swersky, Toniann Pitassi,  Richard Zemel",,"Data Preprocessing-General, Mitigation",ICML,2019,https://proceedings.mlr.press/v97/creager19a.html,
93,DeBayes: a Bayesian Method for Debiasing Network Embeddings,"Maarten Buyl, Tijl De Bie",,"Data Preprocessing-General, Mitigation",ICML,2020,https://proceedings.mlr.press/v119/buyl20a.html,
94,Data preprocessing to mitigate bias: A maximum entropy based approach,"L. Elisa Celis, Vijay Keswani,  Nisheeth Vishnoi",,"Data Preprocessing-General, Mitigation",ICML,2020,https://proceedings.mlr.press/v119/celis20a.html,
95,On Disentangled Representations Learned from Correlated Data,"Frederik Träuble, Elliot Creager, Niki Kilbertus, Francesco Locatello, Andrea Dittadi, Anirudh Goyal, Bernhard Schölkopf,  Stefan Bauer",,"Data Preprocessing-General, Mitigation",ICML,2021,https://proceedings.mlr.press/v139/trauble21a.html,
96,Learning fair representation with a parametric integral probability metric,"Dongha Kim, Kunwoong Kim, Insung Kong, Ilsang Ohn,  Yongdai Ki",,"Data Preprocessing-General, Mitigation",ICML,2022,https://proceedings.mlr.press/v162/kim22b.html,
97,Leave-one-out Unfairness,"Emily Black, Matt Fredrikson",,"Statistical Modeling-Hypothesis Class, Problem Identification",FAccT,2021,https://dl.acm.org/doi/10.1145/3442188.3445894,
98,Fairness Through Robustness: Investigating Robustness Disparity in Deep Learning,"Vedant Na, Samuel Dooley, Sahil Singla, Soheil Feizi,  John P. Dickerson",,"Statistical Modeling-Hypothesis Class, Problem Identification",FAccT,2021,https://dl.acm.org/doi/10.1145/3442188.3445910,
99,The Rich Get Richer: Disparate Impact of Semi-Supervised Learning,"Zhaowei Zhu, Tianyi Luo,  Yang Liu",,"Statistical Modeling-Hypothesis Class, Measurement",ICLR,2022,https://openreview.net/forum?id=DXPftn5kjQK,
100,"Towards Better Detection of Biased Language with Scarce, Noisy, and Biased Annotations","Zhuoyan Li, Zhuoran Lu,  Ming Yin",,"Statistical Modeling-Hypothesis Class, Mitigation",AIES,2022,https://dl.acm.org/doi/10.1145/3514094.3534142,
101,Fair decision making using privacy-protected data,"David Pujol, Ryan McKenna, Satya Kuppam, Michael Hay, Ashwin Machanavajjhala,  Gerome Miklau",,"Statistical Modeling-Optimization Function, Problem Identification",FAccT,2020,https://dl.acm.org/doi/10.1145/3351095.3372872,
102,Chasing Your Long Tails: Differentially Private Prediction in Health Care Settings,"Vinith M Suriyakumar, Nicolas Papernot, Anna Goldenberg,  Marzyeh Ghassemi",,"Statistical Modeling-Optimization Function, Problem Identification",FAccT,2021,https://dl.acm.org/doi/10.1145/3442188.3445934,
103,Fairness Without Demographics in Repeated Loss Minimization,"Tatsunori Hashimoto, Megha Srivastava, Hongseok Namkoong,  Percy Liang",,"Statistical Modeling-Optimization Function, Problem Identification",ICML,2018,https://proceedings.mlr.press/v80/hashimoto18a.html,
104,Distinguishing rule and exemplar-based generalization in learning systems,"Ishita Dasgupta, Erin Grant,  Tom Griffiths",,"Statistical Modeling-Optimization Function, Problem Identification",ICML,2022,https://proceedings.mlr.press/v162/dasgupta22b.html,
105,Underspecification Presents Challenges for Credibility in Modern Machine Learning,"Alexer D'Amour, Katherine Heller, Dan Moldovan, Ben Adlam, Babak Alipanahi, Alex Beutel, Christina Chen, Jonathan Deaton, Jacob Eisenstein, Matthew D. Hoffman, Farhad Hormozdiari, Neil Houlsby, Shaobo Hou, Ghassen Jerfel, Alan Karthikesalingam, Mario Lucic, Yian Ma, Cory McLean, Diana Mincu, Akinori Mitani, Andrea Montanari, Zachary Nado, Vivek Natarajan, Christopher Nielson, Thomas F. Osborne, Rajiv Raman, Kim Ramasamy, Rory Sayres, Jessica Schrouff, Martin Seneviratne, Shannon Sequeira, Harini Suresh, Victor Veitch, Max Vladymyrov, Xuezhi Wang, Kellie Webster, Steve Yadlowsky, Taedong Yun, Xiaohua Zhai, D. Sculley",,"Statistical Modeling-Optimization Function, Measurement",JMLR,2022,https://www.jmlr.org/papers/volume23/20-1335/20-1335.pdf,
106,To be Robust or to be Fair: Towards Fairness in Adversarial Training,"Han Xu, Xiaorui Liu, Yaxin Li, Anil Jain, Jiliang Tang",,"Statistical Modeling-Optimization Function, Mitigation",ICML,2021,https://proceedings.mlr.press/v139/xu21b.html,
107,When Worlds Collide: Integrating Different Counterfactual Assumptions in Fairness,"Chris Russell, Matt J Kusner, Joshua Loftus,  Ricardo Silva",,"Statistical Modeling-Optimization Function, Mitigation (Traditional)",NeurIPS,2017,https://papers.nips.cc/paper_files/paper/2017/hash/1271a7029c9df08643b631b02cf9e116-Abstract.html,
